2024-08-19 11:40:03.305 [main] INFO  c.l.i.IntegratingMybatisApplication - Starting IntegratingMybatisApplication using Java 17.0.11 with PID 12188 (D:\program-study-note\Java\framework\SpringBoot\springboot-study-all\integrating-mybatis\target\classes started by AngryYY in D:\program-study-note\Java\framework\SpringBoot\springboot-study-all)
2024-08-19 11:40:03.305 [main] DEBUG c.l.i.IntegratingMybatisApplication - Running with Spring Boot v3.3.2, Spring v6.1.11
2024-08-19 11:40:03.306 [main] INFO  c.l.i.IntegratingMybatisApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-19 11:40:03.804 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-08-19 11:40:03.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-08-19 11:40:03.818 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-19 11:40:03.819 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-19 11:40:03.845 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-19 11:40:03.846 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 516 ms
2024-08-19 11:40:04.140 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-08-19 11:40:04.151 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-08-19 11:40:04.156 [main] INFO  c.l.i.IntegratingMybatisApplication - Started IntegratingMybatisApplication in 1.052 seconds (process running for 1.443)
2024-08-19 11:40:27.195 [main] INFO  c.l.i.IntegratingMybatisApplication - Starting IntegratingMybatisApplication using Java 17.0.11 with PID 2428 (D:\program-study-note\Java\framework\SpringBoot\springboot-study-all\integrating-mybatis\target\classes started by AngryYY in D:\program-study-note\Java\framework\SpringBoot\springboot-study-all)
2024-08-19 11:40:27.196 [main] INFO  c.l.i.IntegratingMybatisApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-19 11:40:27.690 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-08-19 11:40:27.695 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-08-19 11:40:27.696 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-19 11:40:27.696 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-19 11:40:27.727 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-19 11:40:27.727 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 509 ms
2024-08-19 11:40:28.008 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-08-19 11:40:28.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-08-19 11:40:28.023 [main] INFO  c.l.i.IntegratingMybatisApplication - Started IntegratingMybatisApplication in 1.025 seconds (process running for 1.403)
2024-08-19 11:41:02.035 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-19 11:41:02.035 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-08-19 11:41:02.037 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-08-19 11:41:02.065 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-08-19 11:41:02.135 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2ef08c62
2024-08-19 11:41:02.136 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-08-19 11:41:02.158 [http-nio-8080-exec-2] DEBUG c.l.i.mapper.UserMapper.selectUserById - ==>  Preparing: SELECT * FROM user WHERE id = ?
2024-08-19 11:41:02.170 [http-nio-8080-exec-2] DEBUG c.l.i.mapper.UserMapper.selectUserById - ==> Parameters: 3(Integer)
2024-08-19 11:41:02.181 [http-nio-8080-exec-2] DEBUG c.l.i.mapper.UserMapper.selectUserById - <==      Total: 1
2024-08-19 12:20:49.951 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-08-19 12:20:49.955 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
